255, -0.099046, -0.110394, 0.002837
256, -0.119518, -0.128320, 0.002200
257, -0.123116, -0.131262, 0.002037
258, -0.124676, -0.131730, 0.001763
259, -0.114240, -0.121806, 0.001891
260, -0.088995, -0.098813, 0.002455
261, -0.103047, -0.114645, 0.002899
262, -0.115394, -0.123990, 0.002149
263, -0.110635, -0.123160, 0.003131
264, -0.111431, -0.122951, 0.002880
265, -0.105721, -0.117582, 0.002965
266, -0.113967, -0.123790, 0.002456
267, -0.088390, -0.100722, 0.003083
268, -0.062812, -0.084645, 0.005458
269, -0.094698, -0.111994, 0.004324
270, -0.112959, -0.124972, 0.003003
271, -0.106614, -0.119354, 0.003185
272, -0.115162, -0.126329, 0.002792
273, -0.112380, -0.125299, 0.003230
274, -0.114291, -0.126597, 0.003076
275, -0.057874, -0.083969, 0.006524
276, -0.109824, -0.122722, 0.003224
277, -0.105082, -0.113288, 0.002051
278, -0.126389, -0.133388, 0.001750
279, -0.098260, -0.109575, 0.002829
280, -0.080203, -0.094022, 0.003455
281, -0.109102, -0.120297, 0.002799
282, -0.102879, -0.118357, 0.003870
283, -0.102558, -0.115145, 0.003147
284, -0.119238, -0.129125, 0.002472
285, -0.092163, -0.107131, 0.003742
286, -0.101396, -0.111416, 0.002505
287, -0.105959, -0.116735, 0.002694
288, -0.114788, -0.125365, 0.002644
289, -0.083391, -0.096244, 0.003213
290, -0.119647, -0.129522, 0.002469
291, -0.092247, -0.106243, 0.003499
292, -0.102385, -0.120893, 0.004627
293, -0.111207, -0.124453, 0.003312
294, -0.119921, -0.131190, 0.002817
295, -0.100976, -0.116712, 0.003934
296, -0.123243, -0.133543, 0.002575
297, -0.093435, -0.104741, 0.002826
298, -0.109779, -0.119768, 0.002497
299, -0.125937, -0.136048, 0.002528
300, -0.115590, -0.124061, 0.002118
301, -0.065939, -0.087031, 0.005273
302, -0.107357, -0.119270, 0.002978
303, -0.111543, -0.121239, 0.002424
304, -0.101435, -0.110686, 0.002313
305, -0.096675, -0.108634, 0.002990
306, -0.116044, -0.127592, 0.002887
307, -0.106870, -0.122292, 0.003856
308, -0.116202, -0.129686, 0.003371
309, -0.100780, -0.115568, 0.003697
310, -0.111831, -0.124565, 0.003184
311, -0.097045, -0.112342, 0.003824
312, -0.106871, -0.121570, 0.003675
313, -0.099627, -0.115659, 0.004008
314, -0.083757, -0.098072, 0.003579
315, -0.118630, -0.130022, 0.002848
316, -0.116807, -0.126859, 0.002513
317, -0.113984, -0.127141, 0.003289
318, -0.094128, -0.113552, 0.004856
319, -0.131098, -0.142082, 0.002746
320, -0.110796, -0.126465, 0.003917
321, -0.115945, -0.131174, 0.003807
322, -0.108777, -0.122612, 0.003459
323, -0.124441, -0.137055, 0.003153
324, -0.123684, -0.136182, 0.003124
325, -0.110970, -0.126712, 0.003935
326, -0.113068, -0.123009, 0.002485
327, -0.103601, -0.113620, 0.002505
328, -0.088528, -0.099678, 0.002788
329, -0.119859, -0.127575, 0.001929
330, -0.130257, -0.139291, 0.002258
331, -0.094399, -0.107739, 0.003335
332, -0.121259, -0.131950, 0.002673
333, -0.109265, -0.123425, 0.003540
334, -0.101719, -0.114011, 0.003073
335, -0.099236, -0.117715, 0.004620
336, -0.124118, -0.136728, 0.003152
337, -0.125701, -0.136216, 0.002629
338, -0.109012, -0.124716, 0.003926
339, -0.087061, -0.101413, 0.003588
340, -0.119405, -0.133553, 0.003537
341, -0.114224, -0.130405, 0.004045
342, -0.109283, -0.130039, 0.005189
343, -0.069311, -0.097589, 0.007069
344, -0.128804, -0.142284, 0.003370
345, -0.114053, -0.126343, 0.003073
346, -0.109578, -0.123396, 0.003455
347, -0.121223, -0.133383, 0.003040
348, -0.092032, -0.105322, 0.003323
349, -0.108495, -0.122895, 0.003600
350, -0.134167, -0.146006, 0.002960
351, -0.108877, -0.124361, 0.003871
352, -0.109880, -0.128075, 0.004549
353, -0.132013, -0.146317, 0.003576
354, -0.112708, -0.130573, 0.004466
355, -0.126859, -0.140911, 0.003513
356, -0.108134, -0.127091, 0.004739
357, -0.110968, -0.123936, 0.003242
358, -0.113273, -0.126159, 0.003222
359, -0.117311, -0.130487, 0.003294
360, -0.128547, -0.139511, 0.002741
361, -0.119212, -0.133748, 0.003634
